Fixed time simulation start ######################################
hazard_threshold_val;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
4660;1000;11027;16590;14339;1547105 ns;193;33824;499;
4670;1000;11027;16590;14339;1547105 ns;193;33824;499;
4680;1000;11027;16590;14339;1547105 ns;193;33824;499;
4690;1000;11027;16590;14339;1547105 ns;193;33824;499;
4700;1000;11027;16590;14339;1547105 ns;193;33824;499;
4710;1000;11085;16835;14531;1561835 ns;196;34241;683;
4720;1000;11085;16835;14531;1561835 ns;196;34241;683;
4730;1000;11085;16835;14531;1561835 ns;196;34241;683;
4740;1000;11085;16835;14531;1561835 ns;196;34241;683;
4750;1000;11085;16835;14531;1561835 ns;196;34241;683;
4760;1000;11085;16835;14531;1561835 ns;196;34241;683;
4770;1000;11085;16835;14531;1561835 ns;196;34241;683;
4780;1000;11085;16835;14531;1561835 ns;196;34241;683;
4790;1000;11085;17391;15068;1570635 ns;199;35009;793;
4800;1000;11085;17391;15068;1570635 ns;199;35009;793;
4810;1000;11085;17391;15068;1570635 ns;199;35009;793;
4820;1000;11085;17391;15068;1570635 ns;199;35009;793;
4830;1000;11085;17391;15068;1570635 ns;199;35009;793;
4840;1000;11085;17391;15068;1570635 ns;199;35009;793;
4850;1000;11085;17391;15068;1570635 ns;199;35009;793;
4860;1000;11085;17391;15068;1570635 ns;199;35009;793;
4870;1000;11085;17391;15068;1570635 ns;199;35009;793;
4880;1000;11085;17391;15068;1570635 ns;199;35009;793;
4890;1000;11085;17391;15068;1570635 ns;199;35009;793;
4900;1000;11085;17391;15068;1570635 ns;199;35009;793;
4910;1000;11085;17391;15068;1570635 ns;199;35009;793;
4920;1000;11085;17391;15068;1570635 ns;199;35009;793;
4930;1000;11085;17391;15068;1570635 ns;199;35009;793;
4940;1000;11085;17391;15068;1570635 ns;199;35009;793;
4950;1000;11085;17391;15068;1570635 ns;199;35009;793;
4960;1000;11085;17391;15068;1570635 ns;199;35009;793;
4970;1000;11085;17391;15068;1570635 ns;199;35009;793;
4980;1000;11100;17752;15402;1596385 ns;203;35520;1115;
4990;1000;11100;17752;15402;1596385 ns;203;35520;1115;
5000;1000;11100;17752;15402;1596385 ns;203;35520;1115;
5010;1000;11100;17752;15402;1596385 ns;203;35520;1115;
Fixed value simulation end #######################################
