Fixed time simulation start ######################################
period_bakup_clks;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
374;728215 ns;92;16575;1253;14580;1455;35;250;
376;728215 ns;92;16575;1253;14590;1445;25;250;
378;728215 ns;92;16575;1253;14600;1435;15;250;
380;690965 ns;86;15314;787;13475;1332;5;250;
382;5 ms;637;112080;1270;98732;9643;0;43;
384;5 ms;637;112080;1270;98812;9643;0;43;
386;5 ms;637;112080;1270;98852;9643;0;43;
388;5 ms;637;112080;1270;98852;9643;0;43;
390;5 ms;637;112080;1270;98852;9643;0;43;
392;5 ms;637;112080;1270;98852;9643;0;43;
394;5 ms;637;112080;1270;98852;9643;0;43;
396;5 ms;637;112080;1270;98852;9643;0;43;
398;5 ms;637;112080;1270;98852;9643;0;43;
Fixed value simulation end #######################################
